編號,食品業者登錄字號,店名,總部評核,電話,地址,餐飲業別,評核等級,longitude,latitude
1,F-112411160-00838-8,麥當勞(永和),是,02-29290101,新北市永和區永和路2段170號,速食業,優,121.5129269,25.01318107
2,F-112411160-00842-3,麥當勞(新店北新),是,02-29170186,新北市新店區北新路2段102號,速食業,優,121.540625,24.97386398
3,F-112411160-00859-1,麥當勞(新莊中正),是,02-22768295,新北市新莊區中正路232號,速食業,優,121.4457858,25.03536877
4,F-112411160-00861-4,麥當勞(淡水中正),是,02-26230207,新北市淡水區中正東路37號,速食業,優,121.4436731,25.16832528
5,F-112411160-00863-6,麥當勞(三重正義),是,02-29867525,新北市三重區正義北路15號,速食業,優,121.4951997,25.06311708
6,F-112411160-00876-0,麥當勞(板橋重慶),是,02-29612624,新北市板橋區重慶路23號,速食業,優,121.4584934,25.00788587
7,F-112411160-00887-2,麥當勞(永和中正),是,02-29457965,新北市永和區中正路244號,速食業,優,121.513895,24.99817458
8,F-112411160-00892-8,麥當勞(新莊二),是,02-29920498,新北市新莊區中港路306號,速食業,優,121.4501398,25.04513227
9,F-112411160-00893-9,麥當勞(中和),是,02-22460725,新北市中和區中和路38號,速食業,優,121.497256,25.00149728
10,F-112411160-00912-1,麥當勞(新莊三),是,02-22070065,新北市新莊區民安路188巷5號,速食業,優,121.4222202,25.02305678
11,F-112411160-00917-6,麥當勞(新店北新二),是,02-29102062,新北市新店區北新路3段51號,速食業,優,121.5391115,24.98057998
12,F-112411160-00922-2,麥當勞(土城中央),是,02-22639674,新北市土城區中央路2段159號1樓,速食業,優,121.4395364,24.97645998
13,F-112411160-00926-6,麥當勞(林口中山),是,02-26011477,新北市林口區中山路250之1號,速食業,優,121.3834545,25.07957318
14,F-112411160-00938-9,麥當勞(土城金城),是,02-22746826,新北市土城區金城路3段54號,速食業,優,121.463423,24.98661208
15,F-112411160-00941-3,麥當勞(樹林中山),是,02-26756311,新北市樹林區中山路1段101號,速食業,優,121.4207149,24.99093818
16,F-112411160-00954-7,麥當勞(鶯歌文化),是,02-26772705,新北市鶯歌區文化路363號1樓,速食業,優,121.3497141,24.95109188
17,F-112411160-00959-2,麥當勞(板橋中山),是,02-29642221,新北市板橋區中山路2段257號1樓,速食業,優,121.4749292,25.01770128
18,F-112411160-00962-6,麥當勞(新店安康),是,02-22127618,新北市新店區安德街1號1樓,速食業,優,121.5099075,24.96254867
19,F-112411160-00966-0,麥當勞(三重五華),是,02-29866855,新北市三重區五華街89-1號1樓,速食業,優,121.4894295,25.08345767
20,F-112411160-00967-1,麥當勞(中和中山),是,02-32345535,新北市中和區中山路2段583號1樓,速食業,優,121.4776243,25.00573407
21,F-112411160-00973-8,麥當勞(中和興南),是,02-86686975,新北市中和區興南路1段83號1樓,速食業,優,121.5073815,24.98891308
22,F-112411160-00980-6,麥當勞(泰山泰林),是,02-22967309,新北市泰山區泰林路2段194號1樓,速食業,優,121.4309834,25.06119427
23,F-112411160-00982-8,麥當勞(汐止大同),是,02-26497341,新北市汐止區大同路2段242號1樓,速食業,優,121.6514562,25.06549358
24,F-112411160-00988-4,麥當勞(蘆洲長安),是,02-82825129,新北市蘆洲區長安街127號1樓,速食業,優,121.4582799,25.08136048
25,F-112411160-01002-2,麥當勞(永和得和),是,02-86607029,新北市永和區得和路405號1樓,速食業,優,121.5230823,24.99926028
26,F-112411160-01005-5,麥當勞(五股成泰),是,02-82953733,新北市五股區成泰路2段121號1樓,速食業,優,121.435969,25.08474928
27,F-112411160-01012-3,麥當勞(永和竹林),是,02-89262798,新北市永和區竹林路235號1樓,速食業,優,121.51835,25.00818057
28,F-112411160-01013-4,麥當勞(三峽文化),是,02-26731770,新北市三峽區文化路72號1樓,速食業,優,121.3696757,24.93625068
29,F-112411160-01016-7,麥當勞(永和中山),是,02-86602800,新北市永和區中山路1段214號,速食業,優,121.5059725,25.00852718
30,F-112411160-01020-2,麥當勞(板橋雨農),是,02-22504605,新北市板橋區雨農路60號1樓,速食業,優,121.4580068,25.02410947
31,F-112411160-01022-4,麥當勞(三重正義二),是,02-29840098,新北市三重區正義北路176號1樓,速食業,優,121.4938253,25.06654328
32,F-112411160-01028-0,麥當勞(淡水中山),是,02-26209411,新北市淡水區中山北路1段105號1樓,速食業,優,121.4409952,25.17950273
33,F-112411160-01049-3,麥當勞(板橋文化),是,02-22505065,新北市板橋區文化路2段173號,速食業,優,121.4678015,25.02777467
34,F-112411160-01051-6,麥當勞(土城裕民),是,02-22635311,新北市土城區裕民路180號,速食業,優,121.4501386,24.98516938
35,F-112411160-01055-0,麥當勞(汐止中興),是,02-26946602,新北市汐止區中興路168號之10,速食業,優,121.6295991,25.06529788
36,F-112411160-01073-0,麥當勞(瑞芳中山),是,02-24061095,新北市瑞芳區中山路168號,速食業,優,121.7994925,25.10667937
37,F-112411160-01081-9,麥當勞(汐止新台五),是,02-86425343,新北市汐止區新台五路1段162號,速食業,優,121.6518004,25.06232628
38,F-112411160-01083-1,麥當勞(板橋遠百),是,02-89524029,新北市板橋區中山路1段152號12樓,速食業,優,121.461877,25.01097568
39,F-112411160-01087-5,麥當勞(新莊中山),是,02-29050070,新北市新莊區新北大道七段792號,速食業,優,121.410341,25.02434048
40,F-112411160-01098-7,麥當勞(永和永安),是,02-29228242,新北市永和區中和路503號,速食業,優,121.5081768,25.00243757
41,F-112411160-01107-8,麥當勞(三重三和),是,02-22806398,新北市三重區三和路四段392-1號,速食業,優,121.4791876,25.07924478
42,F-112411160-01121-4,麥當勞(新店家樂福),是,02-29108930,新北市新店區中興路三段1之4號,速食業,優,121.5434489,24.97669147
43,F-112411160-01157-3,麥當勞(新莊中正二),是,02-29022181,新北市新莊區中正路617、619號,速食業,優,121.4294489,25.03170567
44,F-112411160-01162-9,麥當勞(三重愛買),是,02-29711516,新北市三重區中正北路193巷45號1F,速食業,優,121.4734383,25.07136818
45,F-112411160-01170-8,麥當勞(三峽學成),是,02-26728230,新北市三峽區學成路258號,速食業,優,121.3728061,24.94222218
46,F-112411160-01173-1,麥當勞(板橋遠百二),是,02-29646930,新北市板橋區新站路28號9樓,速食業,優,121.4642104,25.01360847
47,F-112411160-01177-5,麥當勞(林口文化),是,02-26082906,新北市林口區文化ㄧ路ㄧ段33號,速食業,優,121.3633318,25.07569904
48,F-112411160-01180-9,麥當勞(板橋府中),是,02-22710296,新北市板橋區府中路69及69-4號B1~5樓,速食業,優,121.455176,25.00925897
49,F-112411160-01181-0,麥當勞(淡水新市),是,02-26200051,新北市淡水區新市一路三段151號,速食業,優,121.4454757,25.18325598
50,F-112411160-01183-2,麥當勞(泰山明志),是,02-29030875,新北市泰山區明志路三段153號1~2樓,速食業,優,121.4222891,25.03978218
51,F-112411160-01188-7,麥當勞(新莊中平),是,02-22791722,"新北市新莊區中平路346,348號",速食業,優,121.4422964,25.05297658
52,F-112411160-01191-1,麥當勞(新莊富國),是,02-29020073,新北市新莊區中正路877-5號B1~3樓,速食業,優,121.4154283,25.02643237
53,F-112411160-01205-7,麥當勞(中和景新),是,02-29460280,"新北市中和區景新街430,432號1~2樓",速食業,優,121.5103919,24.98856147
54,F-112411160-01211-4,麥當勞(三重龍門),是,02-29763181,新北市三重區龍門路42號1~3樓,速食業,優,121.493404,25.07248788
55,F-112411160-01216-9,麥當勞(板橋篤行),是,02-26878197,新北市板橋區篤行路三段99號B1~2樓,速食業,優,121.4238356,24.98454797
56,F-112411160-01223-7,麥當勞(新店中正二),是,02-22183051,新北市新店區中正路506號1~2樓,速食業,優,121.5313174,24.98292018
57,F-112411160-01224-8,麥當勞(中和連城),是,02-22251805,新北市中和區連城路376之1號1~3樓,速食業,優,121.4787712,24.99536248
58,F-112411160-01239-4,麥當勞(汐止南昌),是,02-86923411,新北市汐止區南昌街45及47號1~2樓,速食業,優,121.6606694,25.06849117
59,F-112411160-01242-8,麥當勞(新店中正三),是,02-29103935,新北市新店區中正路331號1~3樓,速食業,優,121.5334007,24.97515747
60,F-112411160-01244-0,麥當勞(金山中山),是,02-24980028,新北市金山區中山路88號,速食業,優,121.6377765,25.21894037
61,F-112411160-01245-1,麥當勞(中和家樂福-DKR),是,02-82458200,新北市中和區中山路2段295號B1F,速食業,優,121.4934485,25.00199827
62,F-112411160-01258-5,麥當勞(新店家樂福-DKR),是,02-29103196,新北市新店區中興路三段1之4號2樓,速食業,優,121.5440204,24.97610488
63,F-112411160-01687-1,麥當勞(三重重陽),是,02-29850533,新北市三重區重陽路一段5號,速食業,優,121.4843235,25.05765628
64,F-112411160-01688-2,麥當勞(鶯歌鶯桃),是,02-26771270,新北市鶯歌區鶯桃路411號,速食業,優,121.3303295,24.96443037
65,F-112411160-01695-0,麥當勞(蘆洲長榮),是,02-22885259,"新北市蘆洲區長榮路376, 378號",速食業,優,121.4571726,25.08771488
66,F-112411160-01703-0,麥當勞(板橋愛買二),是,02-29588758,新北市板橋區貴興路101號,速食業,優,121.4543805,25.00176968
67,F-112411160-01713-1,麥當勞(板車環球),是,02-29686268,新北市板橋區縣民大道二段7號B1,速食業,優,121.4610868,25.01424257
68,F-197161500-00008-0,肯德基（汐止中興餐廳）,是,02-26931153 ,新北市汐止區中興路 169 號 1-2 樓,速食業,優,121.6282867,25.06628017
69,F-197161500-00009-1,肯德基（淡水竹圍餐廳）,是,02-88095078 ,新北市淡水區民權路 41 號,速食業,優,121.4575511,25.14044617
70,F-197161500-00010-3,肯德基（淡水中山餐廳）,是,02-26262529 ,新北市淡水區中山北路一段 151 號,速食業,優,121.4405135,25.17748688
71,F-197161500-00042-8,肯德基（林口文化餐廳）,是,02-26081158 ,新北市林口區文化一路一段 78 號,速食業,優,121.3692998,25.06979057
72,F-197161500-00044-0,肯德基（三重重新二餐廳）,是,02-89828168,新北市三重區重新路二段 1-1 號,速食業,優,121.4969791,25.06303398
73,F-197161500-00045-1,肯德基（三重三和餐廳）,是,02-22861293 ,新北市三重區三和路四段 193-195 號,速食業,優,121.4797026,25.07925657
74,F-197161500-00046-2,肯德基（蘆洲三民餐廳）,是,02-22826058 ,新北市蘆洲區三民路 116-118 號,速食業,優,121.4656082,25.08998747
75,F-197161500-00047-3,肯德基（新莊中港餐廳）,是,02-29948433,新北市新莊區中港路 311-313 號,速食業,優,121.4498598,25.04463577
76,F-197161500-00048-4,肯德基（新莊民安餐廳）,是,02-22020124 ,新北市新莊區民安路 157-1 號,速食業,優,121.4231551,25.02346398
77,F-197161500-00049-5,肯德基（新莊幸福餐廳）,是,02-29910791 ,新北市新莊區幸福路 763 之 6 號,速食業,優,121.4452939,25.04884998
78,F-197161500-00050-7,肯德基（泰山明志餐廳）,是,02-22960659 ,新北市泰山區明志路 1 段 326 號,速食業,優,121.4287348,25.05910548
79,F-197161500-00054-1,肯德基（板橋埔墘餐廳）,是,02-29594138 ,新北市板橋區中山路二段 249 號,速食業,優,121.4747501,25.01758398
80,F-197161500-00055-2,肯德基（板橋新埔餐廳）,是,02-22507558 ,新北市板橋區文化路一段 421 巷 2 號,速食業,優,121.4648444,25.02278817
81,F-197161500-00056-3,肯德基（新店北新餐廳）,是,02-29189953 ,新北市新店區北新路二段 61 號,速食業,優,121.5401678,24.97335398
82,F-197161500-00057-4,肯德基（新店光明餐廳）,是,02-29177186 ,新北市新店區光明街 1 之 1 號 1-5 樓,速食業,優,121.5356844,24.95908417
83,F-197161500-00058-5,肯德基（樹林中山餐廳）,是,02-26841331 ,新北市樹林區中山路一段 67 號,速食業,優,121.4212162,24.99185378
84,F-197161500-00059-6,肯德基（中和興南餐廳）,是,02-29487163 ,新北市中和區興南路一段 79 號,速食業,優,121.5075327,24.98910477
85,F-197161500-00060-8,肯德基（中和福祥餐廳）,是,02-82411603 ,新北市中和區中山路 2 段 228-1 號,速食業,優,121.496273,25.00274277
86,F-197161500-00062-0,肯德基（永和中正餐廳）,是,02-86686971 ,新北市永和區中正路 294 號,速食業,優,121.5146751,24.99901077
87,F-197161500-00063-1,肯德基（中和環球餐廳）,是,02-82215607 ,新北市中和區中山路三段 122 號 3 樓,速食業,優,121.47219,25.00719717
88,F-197161500-00064-2,肯德基（土城金城餐廳）,是,02-22730239 ,新北市土城區金城路 2 段 269 號,速食業,優,121.4611738,24.98613788
89,F-197161500-00065-3,肯德基（三峽北大餐廳）,是,02-26728923 ,新北市三峽區大學路 150-3 號,速食業,優,121.3717064,24.94473437
90,F-197161500-00145-2,肯德基（汐止大同餐廳）,是,02-26428368 ,新北市汐止區大同路二段 383 號,速食業,優,121.6550563,25.06736717
91,F-197161500-00167-6,肯德基（中和員山餐廳）,是,02-22253293 ,新北市中和區員山路 202 號,速食業,優,121.4788784,25.00064147
92,F-197161500-00393-7,肯德基（板橋中山二餐廳）,是,02-29513899 ,新北市板橋區中山路一段 65 號,速食業,優,121.4585495,25.00976268
93,F-197161500-00395-9,肯德基（永和中山餐廳）,是,02-29271558,新北市永和區中山路 1 段 173.175 號,速食業,優,121.5032055,25.00967409
94,F-197161500-00401-7,肯德基（新莊輔大餐廳）,是,02-29012059 ,新北市新莊區中正路 516-3 號,速食業,優,121.4307321,25.03245998
95,F-197161500-00642-4,肯德基（三重正義餐廳）,是,02-29887987,新北市三重區正義北路 139 號 1 樓,速食業,優,121.4941576,25.06671628
96,F-197161500-00648-0,肯德基（五股成泰餐廳）,是,02-22920365 ,新北市五股區成泰路二段 113 號,速食業,優,121.4357779,25.08462507
97,F-197161500-00667-1,肯德基（淡水中山二餐廳）,是,02-26206385 ,新北市淡水區中山路 24.26 號,速食業,優,121.4345191,25.17643514
98,F-197161500-00698-5,肯德基（板橋雙十餐廳）,是,02-22565226 ,新北市板橋區雙十路二段 170 號,速食業,優,121.4704483,25.02969327
99,F-197161500-00713-3,肯德基（土城中央餐廳）,是,02-22606887 ,新北市土城區中央路二段 174 號,速食業,優,121.4391338,24.97636558
100,F-197161500-00734-6,肯德基（新北鶯歌餐廳）,是,02-26706618 ,新北市鶯歌區建國路 153 號,速食業,優,121.347927,24.95349948
101,F-197161500-00736-8,肯德基（新店安康餐廳）,是,02-22111858 ,新北市新店區安康路二段 60 號 1、2 樓,速食業,優,121.5122944,24.96377558
102,F-197161500-00762-7,肯德基（板橋忠孝餐廳）,是,02-29586112 ,新北市板橋區忠孝路 21 號,速食業,優,121.4578069,25.00205708
123,F-141406969-00001-3,Q Burger_三重永福店,是,02-82878666,新北市三重區永福街172號,早餐店,優,121.4783566,25.07456518
124,F-142194730-00001-4,Q Burger_三重慈愛店,是,02-22808853,新北市三重區慈愛街46號,早餐店,優,121.4830526,25.07907488
125,F-142228112-00001-6,Q Burger_中和民生店,是,02-29550810,新北市中和區民生街85巷1弄2號,早餐店,優,121.4665222,25.00458458
126,F-142241065-00001-8,Q Burger_泰山明志店,是,02-29081667,新北市泰山區明志路2段353號,早餐店,優,121.4229265,25.04438277
127,F-142252225-00001-8,Q Burger_新莊化成店,是,02-29906004,新北市新莊區化成路31號,早餐店,優,121.4624177,25.04399848
128,F-142253913-00001-3,Q Burger_新莊自立店,是,02-29927886,新北市新莊區自立街190號,早餐店,優,121.4537697,25.04534908
129,F-142254194-00001-5,Q Burger_板橋英士店,是,02-22580533,新北市板橋區英士路70號,早餐店,優,121.4578781,25.02464998
130,F-142257039-00001-6,Q Burger_新莊建中店,是,02-29922626,新北市新莊區建中街86號,早餐店,優,121.4445513,25.03689057
131,F-142739732-00001-1,Q Burger_三重國隆店,是,02-89837007,新北市三重區國隆路26號,早餐店,優,121.4897585,25.06425887
132,F-147985705-00001-9,Q Burger_五股成泰店,是,02-29096663,新北市五股區成泰路一段47號,早餐店,優,121.431575,25.06735608
133,F-150650393-00001-5,Q Burger_新莊中平店,是,02-29979188,新北市新莊區中平路82巷10號,早餐店,優,121.4425904,25.04472557
134,F-150650416-00001-1,Q Burger_新莊裕民店,是,02-29015532,新北市新莊區裕民街128號,早餐店,優,121.4153045,25.02243227
135,F-150650437-00001-4,Q Burger_蘆洲中興店,是,02-82857757,新北市蘆洲區中興街181號,早餐店,優,121.4791272,25.09014417
136,F-150665001-00001-7,Q Burger_板橋四維店,是,02-22551055,新北市板橋區四維路308號,早餐店,優,121.4601318,25.02982298
137,F-150669766-00001-9,Q Burger_樹林千歲店,是,02-26851910,新北市樹林區千歲街12號,早餐店,優,121.4225617,24.99567677
138,F-150679960-00001-6,Q Burger_新莊昌明店,是,02-89921802,新北市新莊區昌明街28號,早餐店,優,121.4542874,25.05241327
139,F-150681699-00001-8,Q Burger_新北五工店,是,02-22981080,新北市新莊區五工二路95號,早餐店,優,121.4564771,25.06667697
140,F-150681754-00000-9,Q Burger_蘆洲光華店,是,02-22853131,新北市蘆洲區中正路185巷31弄1號,早餐店,優,121.4638812,25.08428468
141,F-172651419-00001-9,Q Burger_中和連城店,是,02-22219606,新北市中和區連城路469巷17號,早餐店,優,121.4811273,24.99522717
142,F-172657384-00001-6,Q Burger_五股國小店,是,02-29772626,新北市五股區成泰路二段108號,早餐店,優,121.4353105,25.08319308
143,F-172663724-00001-1,Q Burger_中和南山店,是,02-22439007,新北市中和區南山路161號1樓,早餐店,優,121.5003139,24.99542248
144,F-172669972-00001-2,Q Burger_泰山義學店,是,02-29002131,新北市泰山區明志路2段101號,早餐店,優,121.4258039,25.05182878
