blur_restaurant_uuid,date,weekday,site_id,village,price,yyyy-mm
r3588c2,2021-06-15,2,高雄市鳳山區,忠義里,355.0,2021-06
r3588c2,2021-06-16,3,高雄市鳳山區,忠義里,911.0,2021-06
r3588c2,2021-06-17,4,高雄市鳳山區,忠義里,1044.0,2021-06
r3588c2,2021-06-18,5,高雄市鳳山區,忠義里,681.0,2021-06
r3588c2,2021-06-19,6,高雄市鳳山區,忠義里,1146.0,2021-06
r3588c2,2021-06-20,7,高雄市鳳山區,忠義里,2521.0,2021-06
r3588c2,2021-06-21,1,高雄市鳳山區,忠義里,941.0,2021-06
r3588c2,2021-06-22,2,高雄市鳳山區,忠義里,3351.0,2021-06
r3588c2,2021-06-23,3,高雄市鳳山區,忠義里,1564.0,2021-06
r3588c2,2021-06-24,4,高雄市鳳山區,忠義里,1727.0,2021-06
r3588c2,2021-06-25,5,高雄市鳳山區,忠義里,3175.0,2021-06
r3588c2,2021-06-26,6,高雄市鳳山區,忠義里,3751.0,2021-06
r3588c2,2021-06-27,7,高雄市鳳山區,忠義里,3443.0,2021-06
r3588c2,2021-06-28,1,高雄市鳳山區,忠義里,1159.0,2021-06
r3588c2,2021-06-29,2,高雄市鳳山區,忠義里,2047.0,2021-06
r3588c2,2021-06-30,3,高雄市鳳山區,忠義里,2727.0,2021-06
r3588c2,2021-07-01,4,高雄市鳳山區,忠義里,3092.0,2021-07
r3588c2,2021-07-02,5,高雄市鳳山區,忠義里,1942.0,2021-07
r3588c2,2021-07-03,6,高雄市鳳山區,忠義里,4109.0,2021-07
r3588c2,2021-07-04,7,高雄市鳳山區,忠義里,4745.0,2021-07
r3588c2,2021-07-05,1,高雄市鳳山區,忠義里,3212.0,2021-07
r3588c2,2021-07-06,2,高雄市鳳山區,忠義里,1585.0,2021-07
r3588c2,2021-07-07,3,高雄市鳳山區,忠義里,1729.0,2021-07
r3588c2,2021-07-08,4,高雄市鳳山區,忠義里,1565.0,2021-07
r3588c2,2021-07-09,5,高雄市鳳山區,忠義里,2955.0,2021-07
r3588c2,2021-07-10,6,高雄市鳳山區,忠義里,3530.0,2021-07
r3588c2,2021-07-11,7,高雄市鳳山區,忠義里,6070.0,2021-07
r3588c2,2021-07-12,1,高雄市鳳山區,忠義里,3591.0,2021-07
r3588c2,2021-07-13,2,高雄市鳳山區,忠義里,2050.0,2021-07
r3588c2,2021-07-14,3,高雄市鳳山區,忠義里,2865.0,2021-07
r3588c2,2021-07-15,4,高雄市鳳山區,忠義里,2380.0,2021-07
r3588c2,2021-07-16,5,高雄市鳳山區,忠義里,1645.0,2021-07
r3588c2,2021-07-17,6,高雄市鳳山區,忠義里,6879.0,2021-07
r3588c2,2021-07-18,7,高雄市鳳山區,忠義里,5494.0,2021-07
r3588c2,2021-07-19,1,高雄市鳳山區,忠義里,3134.0,2021-07
r3588c2,2021-07-20,2,高雄市鳳山區,忠義里,2625.0,2021-07
r3588c2,2021-07-21,3,高雄市鳳山區,忠義里,2048.0,2021-07
r3588c2,2021-07-22,4,高雄市鳳山區,忠義里,1273.0,2021-07
r3588c2,2021-07-23,5,高雄市鳳山區,忠義里,1980.0,2021-07
r3588c2,2021-07-24,6,高雄市鳳山區,忠義里,4572.0,2021-07
r3588c2,2021-07-25,7,高雄市鳳山區,忠義里,7234.0,2021-07
r3588c2,2021-07-26,1,高雄市鳳山區,忠義里,3006.0,2021-07
r3588c2,2021-07-27,2,高雄市鳳山區,忠義里,5917.0,2021-07
r3588c2,2021-07-28,3,高雄市鳳山區,忠義里,3689.0,2021-07
r3588c2,2021-07-29,4,高雄市鳳山區,忠義里,3465.0,2021-07
r3588c2,2021-07-30,5,高雄市鳳山區,忠義里,1873.0,2021-07
r3588c2,2021-07-31,6,高雄市鳳山區,忠義里,2173.0,2021-07
r3588c2,2021-08-01,7,高雄市鳳山區,忠義里,9471.0,2021-08
r3588c2,2021-08-02,1,高雄市鳳山區,忠義里,1754.0,2021-08
r3588c2,2021-08-03,2,高雄市鳳山區,忠義里,1633.0,2021-08
r3588c2,2021-08-04,3,高雄市鳳山區,忠義里,2242.0,2021-08
r3588c2,2021-08-05,4,高雄市鳳山區,忠義里,1731.0,2021-08
r3588c2,2021-08-06,5,高雄市鳳山區,忠義里,4457.0,2021-08
r3588c2,2021-08-07,6,高雄市鳳山區,忠義里,4655.0,2021-08
r3588c2,2021-08-08,7,高雄市鳳山區,忠義里,6219.0,2021-08
r3588c2,2021-08-09,1,高雄市鳳山區,忠義里,2545.0,2021-08
r3588c2,2021-08-10,2,高雄市鳳山區,忠義里,3742.0,2021-08
r3588c2,2021-08-11,3,高雄市鳳山區,忠義里,4581.0,2021-08
r3588c2,2021-08-12,4,高雄市鳳山區,忠義里,3929.0,2021-08
r3588c2,2021-08-13,5,高雄市鳳山區,忠義里,4654.0,2021-08
r3588c2,2021-08-14,6,高雄市鳳山區,忠義里,7034.0,2021-08
r3588c2,2021-08-15,7,高雄市鳳山區,忠義里,7824.0,2021-08
r3588c2,2021-08-16,1,高雄市鳳山區,忠義里,3897.0,2021-08
r3588c2,2021-08-17,2,高雄市鳳山區,忠義里,4799.0,2021-08
r3588c2,2021-08-18,3,高雄市鳳山區,忠義里,3314.0,2021-08
r3588c2,2021-08-19,4,高雄市鳳山區,忠義里,3694.0,2021-08
r3588c2,2021-08-20,5,高雄市鳳山區,忠義里,5339.0,2021-08
r3588c2,2021-08-21,6,高雄市鳳山區,忠義里,6219.0,2021-08
r3588c2,2021-08-22,7,高雄市鳳山區,忠義里,9039.0,2021-08
r3588c2,2021-08-23,1,高雄市鳳山區,忠義里,8192.0,2021-08
r3588c2,2021-08-24,2,高雄市鳳山區,忠義里,7380.0,2021-08
r3588c2,2021-08-25,3,高雄市鳳山區,忠義里,10139.0,2021-08
r3588c2,2021-08-26,4,高雄市鳳山區,忠義里,3364.0,2021-08
r3588c2,2021-08-27,5,高雄市鳳山區,忠義里,3958.0,2021-08
r3588c2,2021-08-28,6,高雄市鳳山區,忠義里,13433.0,2021-08
r3588c2,2021-08-29,7,高雄市鳳山區,忠義里,10094.0,2021-08
r3588c2,2021-08-30,1,高雄市鳳山區,忠義里,6045.0,2021-08
r3588c2,2021-08-31,2,高雄市鳳山區,忠義里,7855.0,2021-08
r3588c2,2021-09-01,3,高雄市鳳山區,忠義里,3921.0,2021-09
r3588c2,2021-09-02,4,高雄市鳳山區,忠義里,4861.0,2021-09
r3588c2,2021-09-03,5,高雄市鳳山區,忠義里,4366.0,2021-09
r3588c2,2021-09-04,6,高雄市鳳山區,忠義里,9625.0,2021-09
r3588c2,2021-09-05,7,高雄市鳳山區,忠義里,17542.0,2021-09
r3588c2,2021-09-06,1,高雄市鳳山區,忠義里,5663.0,2021-09
r3588c2,2021-09-07,2,高雄市鳳山區,忠義里,5218.0,2021-09
r3588c2,2021-09-08,3,高雄市鳳山區,忠義里,8974.0,2021-09
r3588c2,2021-09-09,4,高雄市鳳山區,忠義里,4631.0,2021-09
r3588c2,2021-09-10,5,高雄市鳳山區,忠義里,4087.0,2021-09
r3588c2,2021-09-11,6,高雄市鳳山區,忠義里,6225.0,2021-09
r3588c2,2021-09-12,7,高雄市鳳山區,忠義里,10074.0,2021-09
r3588c2,2021-09-13,1,高雄市鳳山區,忠義里,5746.0,2021-09
r3588c2,2021-09-14,2,高雄市鳳山區,忠義里,5920.0,2021-09
r3588c2,2021-09-15,3,高雄市鳳山區,忠義里,3465.0,2021-09
r3588c2,2021-09-16,4,高雄市鳳山區,忠義里,3892.0,2021-09
r3588c2,2021-09-17,5,高雄市鳳山區,忠義里,4416.0,2021-09
r3588c2,2021-09-18,6,高雄市鳳山區,忠義里,8468.0,2021-09
r3588c2,2021-09-19,7,高雄市鳳山區,忠義里,13260.0,2021-09
r3588c2,2021-09-20,1,高雄市鳳山區,忠義里,16745.0,2021-09
r3588c2,2021-09-21,2,高雄市鳳山區,忠義里,13199.0,2021-09
r3588c2,2021-09-22,3,高雄市鳳山區,忠義里,5672.0,2021-09
r3588c2,2021-09-23,4,高雄市鳳山區,忠義里,3586.0,2021-09
r3588c2,2021-09-24,5,高雄市鳳山區,忠義里,2996.0,2021-09
r3588c2,2021-09-25,6,高雄市鳳山區,忠義里,12538.0,2021-09
r3588c2,2021-09-26,7,高雄市鳳山區,忠義里,10904.0,2021-09
r3588c2,2021-09-27,1,高雄市鳳山區,忠義里,6805.0,2021-09
r3588c2,2021-09-28,2,高雄市鳳山區,忠義里,5915.0,2021-09
r3588c2,2021-09-29,3,高雄市鳳山區,忠義里,5845.0,2021-09
r3588c2,2021-09-30,4,高雄市鳳山區,忠義里,5561.0,2021-09
r3588c2,2021-10-01,5,高雄市鳳山區,忠義里,3132.0,2021-10
r3588c2,2021-10-02,6,高雄市鳳山區,忠義里,12424.0,2021-10
r3588c2,2021-10-03,7,高雄市鳳山區,忠義里,10715.0,2021-10
r3588c2,2021-10-04,1,高雄市鳳山區,忠義里,5227.0,2021-10
r3588c2,2021-10-05,2,高雄市鳳山區,忠義里,4459.0,2021-10
r3588c2,2021-10-06,3,高雄市鳳山區,忠義里,7161.0,2021-10
r3588c2,2021-10-07,4,高雄市鳳山區,忠義里,5634.0,2021-10
r3588c2,2021-10-08,5,高雄市鳳山區,忠義里,4950.0,2021-10
r3588c2,2021-10-09,6,高雄市鳳山區,忠義里,13128.0,2021-10
r3588c2,2021-10-10,7,高雄市鳳山區,忠義里,13554.0,2021-10
r3588c2,2021-10-11,1,高雄市鳳山區,忠義里,21016.0,2021-10
r3588c2,2021-10-12,2,高雄市鳳山區,忠義里,4652.0,2021-10
r3588c2,2021-10-13,3,高雄市鳳山區,忠義里,7282.0,2021-10
r3588c2,2021-10-14,4,高雄市鳳山區,忠義里,5716.0,2021-10
r3588c2,2021-10-15,5,高雄市鳳山區,忠義里,4264.0,2021-10
r3588c2,2021-10-16,6,高雄市鳳山區,忠義里,13737.0,2021-10
r3588c2,2021-10-17,7,高雄市鳳山區,忠義里,15391.0,2021-10
r3588c2,2021-10-18,1,高雄市鳳山區,忠義里,5124.0,2021-10
r3588c2,2021-10-19,2,高雄市鳳山區,忠義里,6125.0,2021-10
r3588c2,2021-10-20,3,高雄市鳳山區,忠義里,2636.0,2021-10
r3588c2,2021-10-21,4,高雄市鳳山區,忠義里,3587.0,2021-10
r3588c2,2021-10-22,5,高雄市鳳山區,忠義里,5838.0,2021-10
r3588c2,2021-10-23,6,高雄市鳳山區,忠義里,21417.0,2021-10
r3588c2,2021-10-24,7,高雄市鳳山區,忠義里,19069.0,2021-10
r3588c2,2021-10-25,1,高雄市鳳山區,忠義里,6194.0,2021-10
r3588c2,2021-10-26,2,高雄市鳳山區,忠義里,4341.0,2021-10
r3588c2,2021-10-27,3,高雄市鳳山區,忠義里,8030.0,2021-10
r3588c2,2021-10-28,4,高雄市鳳山區,忠義里,4358.0,2021-10
r3588c2,2021-10-29,5,高雄市鳳山區,忠義里,6689.0,2021-10
r3588c2,2021-10-30,6,高雄市鳳山區,忠義里,15025.0,2021-10
r3588c2,2021-10-31,7,高雄市鳳山區,忠義里,20111.0,2021-10
r3588c2,2021-11-02,2,高雄市鳳山區,忠義里,9157.0,2021-11
r3588c2,2021-11-03,3,高雄市鳳山區,忠義里,4068.0,2021-11
r3588c2,2021-11-04,4,高雄市鳳山區,忠義里,5364.0,2021-11
r3588c2,2021-11-05,5,高雄市鳳山區,忠義里,5817.0,2021-11
r3588c2,2021-11-06,6,高雄市鳳山區,忠義里,19865.0,2021-11
r3588c2,2021-11-07,7,高雄市鳳山區,忠義里,21534.0,2021-11
r3588c2,2021-11-09,2,高雄市鳳山區,忠義里,6614.0,2021-11
r3588c2,2021-11-10,3,高雄市鳳山區,忠義里,4667.0,2021-11
r3588c2,2021-11-11,4,高雄市鳳山區,忠義里,4878.0,2021-11
r3588c2,2021-11-12,5,高雄市鳳山區,忠義里,11960.0,2021-11
r3588c2,2021-11-13,6,高雄市鳳山區,忠義里,16591.0,2021-11
r3588c2,2021-11-14,7,高雄市鳳山區,忠義里,16470.0,2021-11
r3588c2,2021-11-16,2,高雄市鳳山區,忠義里,7551.0,2021-11
r3588c2,2021-11-17,3,高雄市鳳山區,忠義里,6128.0,2021-11
r3588c2,2021-11-18,4,高雄市鳳山區,忠義里,7402.0,2021-11
r3588c2,2021-11-19,5,高雄市鳳山區,忠義里,11136.0,2021-11
r3588c2,2021-11-20,6,高雄市鳳山區,忠義里,16908.0,2021-11
r3588c2,2021-11-21,7,高雄市鳳山區,忠義里,19954.0,2021-11
