"地標類型","地標名稱","地址","電話","網址","TWD97_X","TWD97_Y","更新日期","行政區"
"大專院校","私立天主教輔仁大學","新北市新莊區營盤里19鄰中正路510號","02-29052000","","293829.74000000","2769474.64000000","2023-11-27 17:12:02.65","新莊區"
"大專院校","私立台北海洋科技大學淡水校區","新北市淡水區沙崙里8鄰濱海路三段150號","02-28102292","","292919.33000000","2787131.17000000","2023-11-27 17:12:02.65","淡水區"
"大專院校","私立宏國德霖科技大學","新北市土城區清化里1鄰青雲路380巷1號","02-22733567","","296082.43000000","2762923.08000000","2023-11-27 17:12:02.65","土城區"
"大專院校","私立亞東科技大學","新北市板橋區華東里18鄰四川路二段58號","02-77380145","","295738.24000000","2765319.13000000","2023-11-27 17:12:02.65","板橋區"
"大專院校","私立明志科技大學","新北市泰山區貴子里9鄰工專路84號","02-29089899","","292609.02000000","2770340.67000000","2023-11-27 17:12:02.65","泰山區"
"大專院校","私立東南科技大學","新北市深坑區萬福里4鄰北深路三段152號","02-86625900","","311041.98000000","2766404.77000000","2023-11-27 17:12:02.65","深坑區"
"大專院校","私立法鼓山僧伽大學","新北市金山區三界里7鄰法鼓路555號","02-24987171","","311973.73000000","2792625.80000000","2023-11-27 17:12:02.65","金山區"
"大專院校","私立法鼓文理學院","新北市金山區西湖里4鄰法鼓路700號","02-24980707","","312138.34000000","2793100.43000000","2023-11-27 17:12:02.65","金山區"
"大專院校","私立致理科技大學","新北市板橋區忠誠里1鄰文化路一段313號","02-22576167","","296945.52000000","2768180.51000000","2023-11-27 17:12:02.65","板橋區"
"大專院校","私立真理大學台北校區","新北市淡水區文化里12鄰真理街32號","02-26212121","","293806.29000000","2785292.84000000","2023-11-27 17:12:02.65","淡水區"
"大專院校","私立耕莘健康管理專科學校新店校區","新北市新店區百和里14鄰民族路112號","02-22191131","","304217.51000000","2763344.41000000","2023-11-27 17:12:02.65","新店區"
"大專院校","私立馬偕醫學院","新北市三芝區古庄里1鄰中正路三段46號","02-26360303","","300033.79000000","2793883.34000000","2023-11-27 17:12:02.65","三芝區"
"大專院校","私立馬偕醫護管理專科學校三芝校區","新北市三芝區古庄里1鄰中正路三段42號","02-26366799","","300191.93000000","2793604.77000000","2023-11-27 17:12:02.65","三芝區"
"大專院校","私立淡江大學淡水校園","新北市淡水區中興里6鄰英專路151號","02-26215656","","295065.94000000","2785105.38000000","2023-11-27 17:12:02.65","淡水區"
"大專院校","私立景文科技大學","新北市新店區公崙里37鄰安忠路99號","02-82122000","","301426.91000000","2760555.93000000","2023-11-27 17:12:02.65","新店區"
"大專院校","私立華夏科技大學","新北市中和區華新里44鄰工專路111號","02-89415100","","301259.57000000","2763722.47000000","2023-11-27 17:12:02.65","中和區"
"大專院校","私立華梵大學","新北市石碇區豐田里4鄰華梵路1號","02-26632102","","319873.73000000","2763741.68000000","2023-11-27 17:12:02.65","石碇區"
"大專院校","私立聖約翰科技大學","新北市淡水區賢孝里4鄰淡金路四段499號","02-28013131","","295455.83000000","2791028.93000000","2023-11-27 17:12:02.65","淡水區"
"大專院校","私立黎明技術學院","新北市泰山區黎明里3鄰泰林路三段22號","02-29097811","","292333.89000000","2773142.39000000","2023-11-27 17:12:02.65","泰山區"
"大專院校","私立醒吾科技大學","新北市林口區東林里18鄰粉寮路一段101號","02-26015310","","290117.41000000","2774735.31000000","2023-11-27 17:12:02.65","林口區"
"大專院校","國立空中大學","新北市蘆洲區保佑里18鄰中正路172號","02-22829355","","297210.34000000","2775480.21000000","2023-11-27 17:12:02.65","蘆洲區"
"大專院校","國立空中大學北二中心","新北市蘆洲區保佑里18鄰中正路172號","02-22829355#3151","","297210.34000000","2775480.21000000","2023-11-27 17:12:02.65","蘆洲區"
"大專院校","國立臺北大學三峽校區","新北市三峽區龍恩里23鄰大學路151號","02-26748189","","287682.93000000","2759752.50000000","2023-11-27 17:12:02.65","三峽區"
"大專院校","國立臺灣師範大學林口校區","新北市林口區林口里2鄰仁愛路一段2號","02-77148888","","290147.64000000","2773360.99000000","2023-11-27 17:12:02.65","林口區"
"大專院校","國立臺灣藝術大學","新北市板橋區浮洲里15鄰大觀路一段59號","02-22722181","","295174.94000000","2766503.76000000","2023-11-27 17:12:02.65","板橋區"
"公所","八里區公所","新北市八里區頂罟里7鄰八里大道18號","02-26102621","","290927.82000000","2782924.69000000","2023-11-27 17:12:02.65","八里區"
"公所","三芝區公所","新北市三芝區埔頭里27鄰中山路一段32號","02-26362111","","300476.96000000","2794431.07000000","2023-11-27 17:12:02.65","三芝區"
"公所","三重區公所","新北市三重區過田里4鄰新北大道一段11號","02-29862345","","299271.41000000","2772604.57000000","2023-11-27 17:12:02.65","三重區"
"公所","三峽區公所","新北市三峽區永館里5鄰中山路17號","02-26711017","","287258.76000000","2758543.40000000","2023-11-27 17:12:02.65","三峽區"
"公所","土城區公所","新北市土城區埤塘里12鄰金城路一段101號","02-22732000","","294707.50000000","2762812.46000000","2023-11-27 17:12:02.65","土城區"
"公所","中和區公所","新北市中和區漳和里3鄰景平路634-2號","02-22482688","","300545.42000000","2765707.00000000","2023-11-27 17:12:02.65","中和區"
"公所","五股區公所","新北市五股區五股里11鄰中興路四段50號","02-22916051","","294192.84000000","2775046.23000000","2023-11-27 17:12:02.65","五股區"
"公所","平溪區公所","新北市平溪區平溪里3鄰平溪街45號","02-24951510","","324499.81000000","2768927.82000000","2023-11-27 17:12:02.65","平溪區"
"公所","永和區公所","新北市永和區豫溪里15鄰竹林路200號","02-29282828","","302515.29000000","2766886.17000000","2023-11-27 17:12:02.65","永和區"
"公所","石門區公所","新北市石門區尖鹿里3鄰中山路66號","02-26381721","","307184.65000000","2798154.32000000","2023-11-27 17:12:02.65","石門區"
"公所","石碇區公所","新北市石碇區潭邊里5鄰碇坪路一段37號","02-26631080","","316417.81000000","2764994.16000000","2023-11-27 17:12:02.65","石碇區"
"公所","汐止區公所","新北市汐止區秀峰里1鄰新台五路一段268號","02-26411111","","316476.16000000","2773007.90000000","2023-11-27 17:12:02.65","汐止區"
"公所","坪林區公所","新北市坪林區坪林里2鄰坪林街101號","02-26657251","","321881.02000000","2758895.17000000","2023-11-27 17:12:02.65","坪林區"
"公所","林口區公所","新北市林口區西林里12鄰仁愛路一段378號","02-26033111","","289223.28000000","2774333.39000000","2023-11-27 17:12:02.65","林口區"
"公所","板橋區公所","新北市板橋區挹秀里8鄰府中路30號","02-29686911","","296334.80000000","2766920.85000000","2023-11-27 17:12:02.65","板橋區"
"公所","金山區公所","新北市金山區金美里17鄰中正路11號","02-24985965","","314147.44000000","2790544.71000000","2023-11-27 17:12:02.65","金山區"
"公所","泰山區公所","新北市泰山區同榮里2鄰明志路一段322號","02-29099551","","293524.29000000","2772402.95000000","2023-11-27 17:12:02.65","泰山區"
"公所","烏來區公所","新北市烏來區忠治里2鄰新烏路五段111號","02-26616442","","305372.92000000","2751684.65000000","2023-11-27 17:12:02.65","烏來區"
"公所","貢寮區公所","新北市貢寮區貢寮里13鄰長泰路20號","02-24941601","","341444.81000000","2768399.81000000","2023-11-27 17:12:02.65","貢寮區"
"公所","淡水區公所","新北市淡水區崁頂里2鄰中山北路二段375號","02-26221020","","294729.54000000","2786576.26000000","2023-11-27 17:12:02.65","淡水區"
"公所","深坑區公所","新北市深坑區深坑里13鄰深坑街10號","02-26623116","","312166.35000000","2766190.62000000","2023-11-27 17:12:02.65","深坑區"
"公所","新店區公所","新北市新店區五[峰]里1鄰北新路一段86號7~9樓","02-29112281","","304720.15000000","2762278.08000000","2023-11-27 17:12:02.65","新店區"
"公所","新莊區公所","新北市新莊區興漢里22鄰中正路176號","02-29929891","","295472.12000000","2769825.10000000","2023-11-27 17:12:02.65","新莊區"
"公所","瑞芳區公所","新北市瑞芳區龍鎮里8鄰逢甲路82號","02-24972250","","331682.83000000","2778078.58000000","2023-11-27 17:12:02.65","瑞芳區"
"公所","萬里區公所","新北市萬里區萬里里3鄰瑪鋉路123號","02-24922064","","319496.58000000","2785669.38000000","2023-11-27 17:12:02.65","萬里區"
"公所","樹林區公所","新北市樹林區樹東里8鄰鎮前街93號","02-26812106","","292854.72000000","2764724.19000000","2023-11-27 17:12:02.65","樹林區"
"公所","雙溪區公所","新北市雙溪區共和里5鄰東榮街25號","02-24931111","","337371.41000000","2769799.11000000","2023-11-27 17:12:02.65","雙溪區"
"公所","蘆洲區公所","新北市蘆洲區保和里1鄰三民路95號","02-22811484","","297801.74000000","2775249.26000000","2023-11-27 17:12:02.65","蘆洲區"
"公所","鶯歌區公所","新北市鶯歌區北鶯里8鄰仁愛路55號","02-26780202","","285764.73000000","2760966.15000000","2023-11-27 17:12:02.65","鶯歌區"
"戶政事務所","新北市三重戶政事務所","新北市三重區溪美里8鄰溪尾街73號2樓","02-29810909","","299496.18000000","2774493.95000000","2023-11-27 17:12:02.65","三重區"
"戶政事務所","新北市三重戶政事務所","新北市三重區過田里4鄰新北大道一段9號4~6樓","02-29812291","","299358.56000000","2772640.47000000","2023-11-27 17:12:02.65","三重區"
"戶政事務所","新北市三峽戶政事務所","新北市三峽區介壽里10鄰光明路71號5樓","02-26711173","","287978.08000000","2757920.45000000","2023-11-27 17:12:02.65","三峽區"
"戶政事務所","新北市三峽樹林戶政事務所","新北市三峽區龍學里15鄰學成路396號4樓","02-86716763","","288154.02000000","2759638.94000000","2023-11-27 17:12:02.65","三峽區"
"戶政事務所","新北市土城戶政事務所","新北市土城區埤塘里4鄰和平路28號","02-22605640","","294752.30000000","2762822.67000000","2023-11-27 17:12:02.65","土城區"
"戶政事務所","新北市中和戶政事務所","新北市中和區外南里2鄰南山路236號4樓","02-29495759","","301147.44000000","2764736.82000000","2023-11-27 17:12:02.65","中和區"
"戶政事務所","新北市中和戶政事務所","新北市中和區民有里22鄰民享街37號2樓之1","02-22263186","","297855.03000000","2766270.50000000","2023-11-27 17:12:02.65","中和區"
"戶政事務所","新北市中和戶政事務所","新北市中和區員富里4鄰中正路1163號3樓","02-22259730","","298612.16000000","2766869.38000000","2023-11-27 17:12:02.65","中和區"
"戶政事務所","新北市五股戶政事務所","新北市八里區頂罟里7鄰八里大道16號","02-26102204","","290982.73000000","2782876.46000000","2023-11-27 17:12:02.65","八里區"
"戶政事務所","新北市五股戶政事務所","新北市五股區五股里5鄰中興路四段70號","02-22916698","","294103.96000000","2775083.74000000","2023-11-27 17:12:02.65","五股區"
"戶政事務所","新北市永和戶政事務所","新北市永和區豫溪里15鄰竹林路200-1號","02-29291276","","302494.86000000","2766861.00000000","2023-11-27 17:12:02.65","永和區"
"戶政事務所","新北市汐止戶政事務所","新北市汐止區秀峰里1鄰新台五路一段268號6樓","02-26429866","","316477.47000000","2773003.56000000","2023-11-27 17:12:02.65","汐止區"
"戶政事務所","新北市林口戶政事務所","新北市林口區西林里12鄰仁愛路一段378號","02-26011574","","289221.46000000","2774333.49000000","2023-11-27 17:12:02.65","林口區"
"戶政事務所","新北市板橋戶政事務所","新北市板橋區東安里9鄰漢生東路195-1號","02-29580977","","297447.94000000","2767142.79000000","2023-11-27 17:12:02.65","板橋區"
"戶政事務所","新北市板橋戶政事務所","新北市板橋區社後里1鄰中正路6號","02-29655656","","296074.74000000","2767263.62000000","2023-11-27 17:12:02.65","板橋區"
"戶政事務所","新北市板橋戶政事務所","新北市板橋區堂春里5鄰溪北路111號4樓","02-26841935","","293463.22000000","2764574.74000000","2023-11-27 17:12:02.65","板橋區"
"戶政事務所","新北市金山戶政事務所","新北市三芝區埔頭里27鄰中山路一段32號","02-26362889","","300483.84000000","2794434.90000000","2023-11-27 17:12:02.65","三芝區"
"戶政事務所","新北市金山戶政事務所","新北市石門區尖鹿里3鄰中山路66號","02-26381307","","307184.35000000","2798153.21000000","2023-11-27 17:12:02.65","石門區"
"戶政事務所","新北市金山戶政事務所","新北市金山區大同里1鄰民生路67號","02-24982059","","314532.08000000","2790318.82000000","2023-11-27 17:12:02.65","金山區"
"戶政事務所","新北市金山戶政事務所","新北市萬里區萬里里3鄰瑪鋉路123號2樓","02-24922063","","319507.40000000","2785678.88000000","2023-11-27 17:12:02.65","萬里區"
"戶政事務所","新北市政府民政局","新北市板橋區福丘里13鄰中山路一段161號14樓","02-29603456#8000-819","","296994.56000000","2767241.28000000","2023-11-27 17:12:02.65","板橋區"
"戶政事務所","新北市泰山戶政事務所","新北市泰山區全興里7鄰全興路212號4樓","02-29096775","","293760.39000000","2772054.92000000","2023-11-27 17:12:02.65","泰山區"
"戶政事務所","新北市淡水戶政事務所","新北市淡水區崁頂里2鄰中山北路二段375號2樓","02-26232830","","294726.31000000","2786566.85000000","2023-11-27 17:12:02.65","淡水區"
"戶政事務所","新北市新店戶政事務所","新北市石碇區潭邊里4鄰碇坪路一段88號","02-26631337","","316412.96000000","2764977.67000000","2023-11-27 17:12:02.65","石碇區"
"戶政事務所","新北市新店戶政事務所","新北市坪林區坪林里2鄰坪林106-1號","02-26656231","","321860.79000000","2758849.76000000","2023-11-27 17:12:02.65","坪林區"
"戶政事務所","新北市新店戶政事務所","新北市烏來區忠治里2鄰新烏路五段111號","02-26616713","","305373.53000000","2751678.98000000","2023-11-27 17:12:02.65","烏來區"
"戶政事務所","新北市新店戶政事務所","新北市深坑區深坑里2鄰平埔街16號4樓","02-26620383","","312121.76000000","2766092.84000000","2023-11-27 17:12:02.65","深坑區"
"戶政事務所","新北市新店戶政事務所","新北市新店區五[峰]里1鄰北新路一段86號11樓","02-29147675","","304720.15000000","2762274.44000000","2023-11-27 17:12:02.65","新店區"
"戶政事務所","新北市新店戶政事務所","新北市新店區公崙里14鄰安康路二段120號3樓","02-22116931","","301784.65000000","2761771.91000000","2023-11-27 17:12:02.65","新店區"
"戶政事務所","新北市新莊戶政事務所","新北市新莊區四維里2鄰四維路9號2樓","02-22012128","","292767.56000000","2768558.06000000","2023-11-27 17:12:02.65","新莊區"
"戶政事務所","新北市新莊戶政事務所","新北市新莊區榮和里12鄰中華路一段1號2樓","02-29912866","","295608.31000000","2769862.91000000","2023-11-27 17:12:02.65","新莊區"
"戶政事務所","新北市瑞芳戶政事務所","新北市平溪區平溪里3鄰平溪街43號","02-24951076","","324515.39000000","2768891.13000000","2023-11-27 17:12:02.65","平溪區"
"戶政事務所","新北市瑞芳戶政事務所","新北市貢寮區貢寮里13鄰長泰路20-1號","02-24941034","","341422.27000000","2768402.75000000","2023-11-27 17:12:02.65","貢寮區"
"戶政事務所","新北市瑞芳戶政事務所","新北市瑞芳區龍興里8鄰中正路30號5樓","02-24972229","","331452.40000000","2777904.77000000","2023-11-27 17:12:02.65","瑞芳區"
"戶政事務所","新北市瑞芳戶政事務所","新北市雙溪區雙溪里9鄰太平路62號","02-24931105","","337293.05000000","2770009.12000000","2023-11-27 17:12:02.65","雙溪區"
"戶政事務所","新北市樹林戶政事務所","新北市樹林區潭底里9鄰保安街一段285號","02-26842131","","292279.69000000","2765457.25000000","2023-11-27 17:12:02.65","樹林區"
"戶政事務所","新北市蘆洲戶政事務所","新北市蘆洲區仁義里1鄰集賢路245號8樓","02-22818536","","298591.53000000","2775257.25000000","2023-11-27 17:12:02.65","蘆洲區"
"戶政事務所","新北市鶯歌戶政事務所","新北市鶯歌區北鶯里8鄰仁愛路53號","02-26797784","","285754.82000000","2760978.18000000","2023-11-27 17:12:02.65","鶯歌區"
"火車站","八斗子站","新北市瑞芳區深澳里","","","330960.99000000","2780999.01000000","2023-11-27 17:12:02.65","瑞芳區"
"火車站","十分站","新北市平溪區十分里2鄰十分街51號","02-24958307","","328211.25000000","2770535.11000000","2023-11-27 17:12:02.65","平溪區"
"火車站","三貂嶺站","新北市瑞芳區碩仁里6鄰魚寮路1號","02-24971896","","332976.06000000","2773289.30000000","2023-11-27 17:12:02.65","瑞芳區"
"火車站","大華站","新北市平溪區南山里6鄰六分路12-1號","","","330457.45000000","2771541.98000000","2023-11-27 17:12:02.65","平溪區"
"火車站","山佳站","新北市樹林區中山里2鄰山佳街28號","02-26808874","","289658.76000000","2762811.55000000","2023-11-27 17:12:02.65","樹林區"
"火車站","五堵站","新北市汐止區長安里5鄰長安路17號","02-86476200","","317340.47000000","2774578.28000000","2023-11-27 17:12:02.65","汐止區"
